Concept,Required for certificate?,Relates to question,Schema.org,DCAT,ADMS,VoID,CKAN API,Link Headers,HTML link/meta,RDFa,microdata,Datapackage,DSPL
Extras,No,,,,,,,,,,,,
Notes,No,,,,,,notes,,,,,,
Groups,No,,,,,,,,,,,,
Data license,Yes,,,,,,,,,,,,
Content license,Yes,,,,,,,,,,,,
Personal data,Yes,,,,,,,,,,,,
Validity,Yes,,,,,,,,,,,,
Quality control process,Yes,qualityControlUrl,,,,,,,,,,,
Publisher URL,Yes,publisherURL,,,,,,,,,,,
Publisher Rights,Yes,publisherRights,,,,,,,,,,,
Origin,Yes,thirdPartyOrigin,,,,,,,,,,,
Crowdsourced,Yes,crowdsourced,,,,,,,,,,,
Contributors,,,,,,,,,,,,contributors,
Contributor Licence Agreement,Yes,claUrl,,,,,,,,,,,
Provenance,Yes,SourceDocumentationUrl / provenance,,dct:provenance,,,,via,,,,sources,
Provenance Metadata,Yes,SourceDocumentationMetadata / digitalCertificate,,,,,,,,,,,
Database rights waiver,Yes,dataWaiver,,,,,,,,,,,
Content Licence waiver,Yes,contentWaiver,,,,,,,,,,,
Anonymisation audited?,Yes,statisticalAnonAudited,,,,,,,,,,,
Lawful diclosure,Yes,lawfulDisclosureURL,,,,,,,,,,,
Privacy Impact Asssesment,Yes,privacyImpactAssessmentUrl,,,,,,,,,,,
Individual Consent URL,Yes,individualConsentURL,,,,,,,,,,,
Risk assessment carried out,Yes,riskAssessment,,,,,,,,,,,
Data protection staff consulted,Yes,dbStaffConsulted,,,,,,,,,,,
One off release,Yes,releaseType,,,,,,,,,,,
Web Service Type,Yes,serviceType,,,,,,,,,,,
Delay between creation and publication,Yes,seriesPublicationDelay,,,,,,,,,,,
Data dump (for APIs),Yes,provideDumps,,,,void:dataDump,,,,,,,
Updates if errors,Yes,corrected,,,,,,,,,,,
Quality Control Process Description URL,Yes,qualityControlUrl,,,,,,,,,,,
Service Availability,Yes,serviceAvailability,,,,,,,,,,,
Onngoing Availability,Yes,onGoingAvailability,,,,,,,,,,,
Current Version URL,Yes,currentDatasetUrl,,,,,,,,,,,
Versioning URL template,Yes,versionsTemplateUrl,,,,,,,,,,,
Versions URL,Yes,versionsUrl,,,,,,,,,,,
Endpoint,Yes,endpointUrl,,,,,,,,,,,
Current Dump URL,Yes,currentDumpUrl,,,,,,,,,,,
Dumps URL Template,Yes,dumpsTemplateUrl,,,,,,,,,,,
Dumps URL,Yes,dumpsUrl,,,,,,,,,,,
Machine Readable,Yes,machineReadable,,,,,,,,,,,
Dataset type,Yes,dataType,,,,,,,,,,,
Formats for structured data,Yes,structuredFormat,,,,,,,,,,,
Use URIs,Yes,identifiers,,,,,,,,,,,
URIs resolve?,Yes,resolvingUrls,,,,,,,,,,,
URIs exist?,Yes,existingExternalUrls,,,,,,,,,,,
External site reliable,Yes,reliableExternalUrls,,,,,,,,,,,
URIs used?,Yes,externalUrls,,,,,,,,,,,
Documentation Metadata,Yes,documentationMetadata,,All contained in DCAT,,,,,,,,,
API Documentation,Yes,serviceDocumentation,,dcat:dataDictionary ,,,,,,,,,
Schema Documetation URL,Yes,schemaDocumentationUrl,,,,,,,,,,,
Codelist doucmentation,Yes,codelistDocumentationUrl,,,,,,,,,,,
Where to suggest improvements,Yes,improvementsContact,,,,,,,,,,,
Email for confidentiality concerns,Yes,dataProtectionEmail,,,,,,,,,,,
Social media,Yes,socialMedia,,,,,,,,,,,
Forum or mailing list URL,Yes,forum,,,,,,,,,,,
Where to provide corrections,Yes,correctionReporting,,,,,,,,,,,
Corrections feed / mailing list,Yes,correctionDiscovery,,,,,,,,,,,
Engagement team,Yes,engagementTeam,,,,,,,,,,,
Libraries for working with the data,Yes,libraries,,,,,,,,,,,
